Value,Percentile,TotalCount,1/(1-Percentile)
18543.000,0.000000,1,1.00
18911.000,0.100000,2143,1.11
18991.000,0.200000,4138,1.25
19055.000,0.300000,6094,1.43
19119.000,0.400000,8102,1.67
19199.000,0.500000,10390,2.00
19231.000,0.550000,11213,2.22
19279.000,0.600000,12311,2.50
19327.000,0.650000,13148,2.86
19407.000,0.700000,14156,3.33
19519.000,0.750000,15013,4.00
19631.000,0.775000,15542,4.44
19807.000,0.800000,16003,5.00
20063.000,0.825000,16526,5.71
20239.000,0.850000,17020,6.67
20463.000,0.875000,17522,8.00
20655.000,0.887500,17751,8.89
21039.000,0.900000,18010,10.00
21295.000,0.912500,18260,11.43
21599.000,0.925000,18500,13.33
22095.000,0.937500,18752,16.00
22367.000,0.943750,18879,17.78
22623.000,0.950000,19006,20.00
22879.000,0.956250,19131,22.86
23247.000,0.962500,19250,26.67
23823.000,0.968750,19376,32.00
24239.000,0.971875,19439,35.56
24671.000,0.975000,19502,40.00
25055.000,0.978125,19563,45.71
25487.000,0.981250,19626,53.33
26111.000,0.984375,19688,64.00
26495.000,0.985938,19720,71.11
26959.000,0.987500,19751,80.00
27487.000,0.989062,19782,91.43
28319.000,0.990625,19813,106.67
29151.000,0.992188,19844,128.00
29711.000,0.992969,19860,142.22
30191.000,0.993750,19875,160.00
31231.000,0.994531,19892,182.86
31919.000,0.995313,19907,213.33
32463.000,0.996094,19922,256.00
33055.000,0.996484,19932,284.44
33215.000,0.996875,19938,320.00
33695.000,0.997266,19946,365.71
34303.000,0.997656,19956,426.67
34463.000,0.998047,19961,512.00
34783.000,0.998242,19965,568.89
34911.000,0.998437,19970,640.00
35135.000,0.998633,19973,731.43
35295.000,0.998828,19977,853.33
35455.000,0.999023,19981,1024.00
35615.000,0.999121,19983,1137.78
35871.000,0.999219,19985,1280.00
36031.000,0.999316,19987,1462.86
36351.000,0.999414,19989,1706.67
36639.000,0.999512,19991,2048.00
36927.000,0.999561,19992,2275.56
37087.000,0.999609,19993,2560.00
37791.000,0.999658,19994,2925.71
37887.000,0.999707,19995,3413.33
39135.000,0.999756,19996,4096.00
39135.000,0.999780,19996,4551.11
39519.000,0.999805,19997,5120.00
39519.000,0.999829,19997,5851.43
40063.000,0.999854,19998,6826.67
40063.000,0.999878,19998,8192.00
40063.000,0.999890,19998,9102.22
43071.000,0.999902,19999,10240.00
43071.000,0.999915,19999,11702.86
43071.000,0.999927,19999,13653.33
43071.000,0.999939,19999,16384.00
43071.000,0.999945,19999,18204.44
43263.000,0.999951,20000,20480.00
43263.000,1.000000,20000,inf
