Value,Percentile,TotalCount,1/(1-Percentile)
2777.000,0.000000,1,1.00
3315.000,0.100000,2009,1.11
3423.000,0.200000,4015,1.25
3463.000,0.300000,6007,1.43
3489.000,0.400000,8114,1.67
3515.000,0.500000,10020,2.00
3525.000,0.550000,11002,2.22
3535.000,0.600000,12235,2.50
3543.000,0.650000,13263,2.86
3549.000,0.700000,14002,3.33
3557.000,0.750000,15013,4.00
3563.000,0.775000,15689,4.44
3567.000,0.800000,16076,5.00
3573.000,0.825000,16536,5.71
3581.000,0.850000,17034,6.67
3593.000,0.875000,17508,8.00
3603.000,0.887500,17789,8.89
3617.000,0.900000,18030,10.00
3641.000,0.912500,18263,11.43
3689.000,0.925000,18505,13.33
3757.000,0.937500,18751,16.00
3797.000,0.943750,18875,17.78
3831.000,0.950000,19007,20.00
3861.000,0.956250,19128,22.86
3897.000,0.962500,19253,26.67
3955.000,0.968750,19380,32.00
3993.000,0.971875,19440,35.56
4019.000,0.975000,19500,40.00
4043.000,0.978125,19567,45.71
4069.000,0.981250,19627,53.33
4175.000,0.984375,19690,64.00
4303.000,0.985938,19719,71.11
4507.000,0.987500,19750,80.00
4911.000,0.989062,19782,91.43
5467.000,0.990625,19814,106.67
5983.000,0.992188,19844,128.00
6275.000,0.992969,19860,142.22
6591.000,0.993750,19875,160.00
6719.000,0.994531,19891,182.86
6815.000,0.995313,19908,213.33
6931.000,0.996094,19922,256.00
6987.000,0.996484,19930,284.44
7027.000,0.996875,19938,320.00
7067.000,0.997266,19946,365.71
7115.000,0.997656,19954,426.67
7155.000,0.998047,19961,512.00
7227.000,0.998242,19965,568.89
7263.000,0.998437,19969,640.00
7299.000,0.998633,19973,731.43
7647.000,0.998828,19977,853.33
8271.000,0.999023,19981,1024.00
8439.000,0.999121,19983,1137.78
9167.000,0.999219,19985,1280.00
15559.000,0.999316,19987,1462.86
216703.000,0.999414,19989,1706.67
269311.000,0.999512,19991,2048.00
269823.000,0.999561,19992,2275.56
284415.000,0.999609,19993,2560.00
285951.000,0.999658,19994,2925.71
332543.000,0.999707,19995,3413.33
341759.000,0.999756,19996,4096.00
341759.000,0.999780,19996,4551.11
383487.000,0.999805,19997,5120.00
383487.000,0.999829,19997,5851.43
387839.000,0.999854,19998,6826.67
387839.000,0.999878,19998,8192.00
387839.000,0.999890,19998,9102.22
390655.000,0.999902,19999,10240.00
390655.000,0.999915,19999,11702.86
390655.000,0.999927,19999,13653.33
390655.000,0.999939,19999,16384.00
390655.000,0.999945,19999,18204.44
445183.000,0.999951,20000,20480.00
445183.000,1.000000,20000,inf
