Value,Percentile,TotalCount,1/(1-Percentile)
166527.000,0.000000,1,1.00
255103.000,0.100000,2002,1.11
270079.000,0.200000,4002,1.25
279039.000,0.300000,6012,1.43
285183.000,0.400000,8019,1.67
289791.000,0.500000,10131,2.00
291327.000,0.550000,11055,2.22
292607.000,0.600000,12036,2.50
293887.000,0.650000,13067,2.86
295167.000,0.700000,14161,3.33
296447.000,0.750000,15087,4.00
297215.000,0.775000,15573,4.44
297983.000,0.800000,16082,5.00
298751.000,0.825000,16578,5.71
299519.000,0.850000,17060,6.67
300287.000,0.875000,17560,8.00
300799.000,0.887500,17846,8.89
301311.000,0.900000,18118,10.00
301823.000,0.912500,18372,11.43
302335.000,0.925000,18587,13.33
302847.000,0.937500,18757,16.00
303359.000,0.943750,18913,17.78
303871.000,0.950000,19049,20.00
304383.000,0.956250,19148,22.86
305151.000,0.962500,19278,26.67
305919.000,0.968750,19384,32.00
306431.000,0.971875,19447,35.56
307199.000,0.975000,19520,40.00
307711.000,0.978125,19572,45.71
308479.000,0.981250,19632,53.33
309247.000,0.984375,19691,64.00
309759.000,0.985938,19720,71.11
310527.000,0.987500,19753,80.00
311295.000,0.989062,19791,91.43
311807.000,0.990625,19814,106.67
312831.000,0.992188,19851,128.00
313087.000,0.992969,19866,142.22
313599.000,0.993750,19884,160.00
314111.000,0.994531,19902,182.86
314367.000,0.995313,19911,213.33
314879.000,0.996094,19923,256.00
315391.000,0.996484,19934,284.44
315647.000,0.996875,19938,320.00
316159.000,0.997266,19949,365.71
316671.000,0.997656,19957,426.67
317695.000,0.998047,19962,512.00
318207.000,0.998242,19966,568.89
318463.000,0.998437,19969,640.00
318975.000,0.998633,19975,731.43
319231.000,0.998828,19979,853.33
319999.000,0.999023,19981,1024.00
320511.000,0.999121,19983,1137.78
320767.000,0.999219,19985,1280.00
321535.000,0.999316,19988,1462.86
321791.000,0.999414,19990,1706.67
322047.000,0.999512,19992,2048.00
322047.000,0.999561,19992,2275.56
322303.000,0.999609,19994,2560.00
322303.000,0.999658,19994,2925.71
322559.000,0.999707,19995,3413.33
322815.000,0.999756,19996,4096.00
322815.000,0.999780,19996,4551.11
323071.000,0.999805,19997,5120.00
323071.000,0.999829,19997,5851.43
324351.000,0.999854,19998,6826.67
324351.000,0.999878,19998,8192.00
324351.000,0.999890,19998,9102.22
324863.000,0.999902,19999,10240.00
324863.000,0.999915,19999,11702.86
324863.000,0.999927,19999,13653.33
324863.000,0.999939,19999,16384.00
324863.000,0.999945,19999,18204.44
325119.000,0.999951,20000,20480.00
325119.000,1.000000,20000,inf
