Value,Percentile,TotalCount,1/(1-Percentile)
2197.000,0.000000,1,1.00
2459.000,0.100000,2035,1.11
2481.000,0.200000,4187,1.25
2493.000,0.300000,6172,1.43
2503.000,0.400000,8274,1.67
2513.000,0.500000,10295,2.00
2519.000,0.550000,11315,2.22
2525.000,0.600000,12189,2.50
2533.000,0.650000,13091,2.86
2545.000,0.700000,14005,3.33
2563.000,0.750000,15036,4.00
2573.000,0.775000,15550,4.44
2585.000,0.800000,16064,5.00
2601.000,0.825000,16529,5.71
2627.000,0.850000,17022,6.67
2663.000,0.875000,17513,8.00
2689.000,0.887500,17754,8.89
2727.000,0.900000,18009,10.00
2783.000,0.912500,18256,11.43
2837.000,0.925000,18504,13.33
2883.000,0.937500,18751,16.00
2901.000,0.943750,18879,17.78
2919.000,0.950000,19003,20.00
2939.000,0.956250,19137,22.86
2961.000,0.962500,19261,26.67
2985.000,0.968750,19389,32.00
2999.000,0.971875,19438,35.56
3015.000,0.975000,19500,40.00
3039.000,0.978125,19567,45.71
3067.000,0.981250,19628,53.33
3101.000,0.984375,19688,64.00
3129.000,0.985938,19720,71.11
3153.000,0.987500,19750,80.00
3215.000,0.989062,19783,91.43
3317.000,0.990625,19813,106.67
3431.000,0.992188,19844,128.00
3477.000,0.992969,19860,142.22
3547.000,0.993750,19875,160.00
3585.000,0.994531,19892,182.86
3677.000,0.995313,19907,213.33
3723.000,0.996094,19922,256.00
3747.000,0.996484,19931,284.44
3803.000,0.996875,19938,320.00
4127.000,0.997266,19946,365.71
4627.000,0.997656,19954,426.67
4863.000,0.998047,19961,512.00
4963.000,0.998242,19965,568.89
5011.000,0.998437,19969,640.00
5067.000,0.998633,19973,731.43
5207.000,0.998828,19977,853.33
5407.000,0.999023,19981,1024.00
5471.000,0.999121,19983,1137.78
5575.000,0.999219,19985,1280.00
5679.000,0.999316,19987,1462.86
5835.000,0.999414,19989,1706.67
6139.000,0.999512,19991,2048.00
6171.000,0.999561,19992,2275.56
6239.000,0.999609,19993,2560.00
6279.000,0.999658,19994,2925.71
6635.000,0.999707,19995,3413.33
8503.000,0.999756,19996,4096.00
8503.000,0.999780,19996,4551.11
9551.000,0.999805,19997,5120.00
9551.000,0.999829,19997,5851.43
10543.000,0.999854,19998,6826.67
10543.000,0.999878,19998,8192.00
10543.000,0.999890,19998,9102.22
14479.000,0.999902,19999,10240.00
14479.000,0.999915,19999,11702.86
14479.000,0.999927,19999,13653.33
14479.000,0.999939,19999,16384.00
14479.000,0.999945,19999,18204.44
23743.000,0.999951,20000,20480.00
23743.000,1.000000,20000,inf
