Value,Percentile,TotalCount,1/(1-Percentile)
4049.000,0.000000,1,1.00
4315.000,0.100000,2066,1.11
4383.000,0.200000,4012,1.25
4467.000,0.300000,6062,1.43
5063.000,0.400000,8000,1.67
3993599.000,0.500000,10129,2.00
5992447.000,0.550000,11009,2.22
6000639.000,0.600000,18205,2.50
6000639.000,0.650000,18205,2.86
6000639.000,0.700000,18205,3.33
6000639.000,0.750000,18205,4.00
6000639.000,0.775000,18205,4.44
6000639.000,0.800000,18205,5.00
6000639.000,0.825000,18205,5.71
6000639.000,0.850000,18205,6.67
6000639.000,0.875000,18205,8.00
6000639.000,0.887500,18205,8.89
6000639.000,0.900000,18205,10.00
6004735.000,0.912500,19898,11.43
6004735.000,0.925000,19898,13.33
6004735.000,0.937500,19898,16.00
6004735.000,0.943750,19898,17.78
6004735.000,0.950000,19898,20.00
6004735.000,0.956250,19898,22.86
6004735.000,0.962500,19898,26.67
6004735.000,0.968750,19898,32.00
6004735.000,0.971875,19898,35.56
6004735.000,0.975000,19898,40.00
6004735.000,0.978125,19898,45.71
6004735.000,0.981250,19898,53.33
6004735.000,0.984375,19898,64.00
6004735.000,0.985938,19898,71.11
6004735.000,0.987500,19898,80.00
6004735.000,0.989062,19898,91.43
6004735.000,0.990625,19898,106.67
6004735.000,0.992188,19898,128.00
6004735.000,0.992969,19898,142.22
6004735.000,0.993750,19898,160.00
6004735.000,0.994531,19898,182.86
6008831.000,0.995313,19930,213.33
6008831.000,0.996094,19930,256.00
6008831.000,0.996484,19930,284.44
6012927.000,0.996875,19942,320.00
6017023.000,0.997266,19948,365.71
6021119.000,0.997656,19954,426.67
7000063.000,0.998047,19971,512.00
7000063.000,0.998242,19971,568.89
7000063.000,0.998437,19971,640.00
7004159.000,0.998633,19999,731.43
7004159.000,0.998828,19999,853.33
7004159.000,0.999023,19999,1024.00
7004159.000,0.999121,19999,1137.78
7004159.000,0.999219,19999,1280.00
7004159.000,0.999316,19999,1462.86
7004159.000,0.999414,19999,1706.67
7004159.000,0.999512,19999,2048.00
7004159.000,0.999561,19999,2275.56
7004159.000,0.999609,19999,2560.00
7004159.000,0.999658,19999,2925.71
7004159.000,0.999707,19999,3413.33
7004159.000,0.999756,19999,4096.00
7004159.000,0.999780,19999,4551.11
7004159.000,0.999805,19999,5120.00
7004159.000,0.999829,19999,5851.43
7004159.000,0.999854,19999,6826.67
7004159.000,0.999878,19999,8192.00
7004159.000,0.999890,19999,9102.22
7004159.000,0.999902,19999,10240.00
7004159.000,0.999915,19999,11702.86
7004159.000,0.999927,19999,13653.33
7004159.000,0.999939,19999,16384.00
7004159.000,0.999945,19999,18204.44
7016447.000,0.999951,20000,20480.00
7016447.000,1.000000,20000,inf
