Value,Percentile,TotalCount,1/(1-Percentile)
4227.000,0.000000,1,1.00
4559.000,0.100000,2095,1.11
4595.000,0.200000,4134,1.25
4627.000,0.300000,6091,1.43
4663.000,0.400000,8200,1.67
4695.000,0.500000,10103,2.00
4715.000,0.550000,11161,2.22
4735.000,0.600000,12060,2.50
4759.000,0.650000,13122,2.86
4783.000,0.700000,14011,3.33
4819.000,0.750000,15068,4.00
4839.000,0.775000,15587,4.44
4859.000,0.800000,16044,5.00
4891.000,0.825000,16553,5.71
4935.000,0.850000,17017,6.67
5003.000,0.875000,17522,8.00
5043.000,0.887500,17752,8.89
5095.000,0.900000,18008,10.00
5139.000,0.912500,18255,11.43
5191.000,0.925000,18515,13.33
5239.000,0.937500,18753,16.00
5271.000,0.943750,18889,17.78
5299.000,0.950000,19012,20.00
5331.000,0.956250,19129,22.86
5367.000,0.962500,19261,26.67
5431.000,0.968750,19377,32.00
5479.000,0.971875,19442,35.56
5531.000,0.975000,19501,40.00
5627.000,0.978125,19564,45.71
5743.000,0.981250,19625,53.33
6027.000,0.984375,19688,64.00
6311.000,0.985938,19719,71.11
6615.000,0.987500,19750,80.00
6959.000,0.989062,19782,91.43
7239.000,0.990625,19813,106.67
7695.000,0.992188,19845,128.00
7899.000,0.992969,19860,142.22
8111.000,0.993750,19875,160.00
8207.000,0.994531,19892,182.86
8375.000,0.995313,19907,213.33
8535.000,0.996094,19922,256.00
8671.000,0.996484,19930,284.44
8895.000,0.996875,19938,320.00
9719.000,0.997266,19946,365.71
10007.000,0.997656,19954,426.67
10647.000,0.998047,19961,512.00
13903.000,0.998242,19965,568.89
15783.000,0.998437,19969,640.00
156415.000,0.998633,19974,731.43
157055.000,0.998828,19977,853.33
158463.000,0.999023,19982,1024.00
158591.000,0.999121,19983,1137.78
162943.000,0.999219,19985,1280.00
213375.000,0.999316,19987,1462.86
233215.000,0.999414,19989,1706.67
347647.000,0.999512,19991,2048.00
348671.000,0.999561,19992,2275.56
350207.000,0.999609,19993,2560.00
559103.000,0.999658,19994,2925.71
560639.000,0.999707,19995,3413.33
566271.000,0.999756,19996,4096.00
566271.000,0.999780,19996,4551.11
573439.000,0.999805,19997,5120.00
573439.000,0.999829,19997,5851.43
597503.000,0.999854,19998,6826.67
597503.000,0.999878,19998,8192.00
597503.000,0.999890,19998,9102.22
600063.000,0.999902,19999,10240.00
600063.000,0.999915,19999,11702.86
600063.000,0.999927,19999,13653.33
600063.000,0.999939,19999,16384.00
600063.000,0.999945,19999,18204.44
627199.000,0.999951,20000,20480.00
627199.000,1.000000,20000,inf
