Value,Percentile,TotalCount,1/(1-Percentile)
87807.000,0.000000,1,1.00
136831.000,0.100000,2018,1.11
145407.000,0.200000,4007,1.25
150655.000,0.300000,6058,1.43
153983.000,0.400000,8019,1.67
156543.000,0.500000,10007,2.00
157695.000,0.550000,11122,2.22
158463.000,0.600000,12003,2.50
159231.000,0.650000,13034,2.86
159999.000,0.700000,14043,3.33
160767.000,0.750000,15096,4.00
161151.000,0.775000,15619,4.44
161535.000,0.800000,16148,5.00
161919.000,0.825000,16671,5.71
162303.000,0.850000,17114,6.67
162815.000,0.875000,17570,8.00
163071.000,0.887500,17778,8.89
163455.000,0.900000,18054,10.00
163839.000,0.912500,18281,11.43
164351.000,0.925000,18543,13.33
164863.000,0.937500,18771,16.00
165247.000,0.943750,18901,17.78
165631.000,0.950000,19005,20.00
166143.000,0.956250,19133,22.86
167039.000,0.962500,19271,26.67
168063.000,0.968750,19379,32.00
168703.000,0.971875,19453,35.56
169343.000,0.975000,19509,40.00
170111.000,0.978125,19565,45.71
170879.000,0.981250,19637,53.33
171647.000,0.984375,19694,64.00
172159.000,0.985938,19719,71.11
172799.000,0.987500,19760,80.00
173183.000,0.989062,19786,91.43
173695.000,0.990625,19816,106.67
174207.000,0.992188,19846,128.00
174591.000,0.992969,19860,142.22
175103.000,0.993750,19879,160.00
175487.000,0.994531,19891,182.86
176255.000,0.995313,19910,213.33
176639.000,0.996094,19924,256.00
176895.000,0.996484,19934,284.44
177151.000,0.996875,19939,320.00
177663.000,0.997266,19946,365.71
178431.000,0.997656,19955,426.67
178943.000,0.998047,19961,512.00
179199.000,0.998242,19965,568.89
179711.000,0.998437,19969,640.00
180095.000,0.998633,19973,731.43
181247.000,0.998828,19977,853.33
181375.000,0.999023,19981,1024.00
181503.000,0.999121,19983,1137.78
181631.000,0.999219,19985,1280.00
182271.000,0.999316,19987,1462.86
183423.000,0.999414,19989,1706.67
184063.000,0.999512,19991,2048.00
184319.000,0.999561,19993,2275.56
184319.000,0.999609,19993,2560.00
184447.000,0.999658,19994,2925.71
185215.000,0.999707,19995,3413.33
185343.000,0.999756,19996,4096.00
185343.000,0.999780,19996,4551.11
186111.000,0.999805,19997,5120.00
186111.000,0.999829,19997,5851.43
194047.000,0.999854,19998,6826.67
194047.000,0.999878,19998,8192.00
194047.000,0.999890,19998,9102.22
194431.000,0.999902,19999,10240.00
194431.000,0.999915,19999,11702.86
194431.000,0.999927,19999,13653.33
194431.000,0.999939,19999,16384.00
194431.000,0.999945,19999,18204.44
204927.000,0.999951,20000,20480.00
204927.000,1.000000,20000,inf
