Value,Percentile,TotalCount,1/(1-Percentile)
2407.000,0.000000,1,1.00
3059.000,0.100000,2009,1.11
3195.000,0.200000,4000,1.25
3289.000,0.300000,6013,1.43
3367.000,0.400000,8043,1.67
3439.000,0.500000,10024,2.00
3475.000,0.550000,11031,2.22
3511.000,0.600000,12031,2.50
3551.000,0.650000,13060,2.86
3589.000,0.700000,14023,3.33
3635.000,0.750000,15033,4.00
3663.000,0.775000,15545,4.44
3689.000,0.800000,16023,5.00
3719.000,0.825000,16517,5.71
3755.000,0.850000,17019,6.67
3789.000,0.875000,17504,8.00
3809.000,0.887500,17758,8.89
3831.000,0.900000,18000,10.00
3853.000,0.912500,18251,11.43
3883.000,0.925000,18514,13.33
3917.000,0.937500,18756,16.00
3937.000,0.943750,18875,17.78
3957.000,0.950000,19006,20.00
3983.000,0.956250,19128,22.86
4011.000,0.962500,19257,26.67
4043.000,0.968750,19376,32.00
4059.000,0.971875,19443,35.56
4079.000,0.975000,19500,40.00
4107.000,0.978125,19563,45.71
4131.000,0.981250,19625,53.33
4171.000,0.984375,19692,64.00
4199.000,0.985938,19727,71.11
4211.000,0.987500,19752,80.00
4243.000,0.989062,19782,91.43
4271.000,0.990625,19814,106.67
4319.000,0.992188,19844,128.00
4347.000,0.992969,19865,142.22
4371.000,0.993750,19876,160.00
4423.000,0.994531,19892,182.86
4475.000,0.995313,19907,213.33
4571.000,0.996094,19922,256.00
4635.000,0.996484,19930,284.44
4767.000,0.996875,19938,320.00
4915.000,0.997266,19946,365.71
5299.000,0.997656,19954,426.67
5431.000,0.998047,19961,512.00
5547.000,0.998242,19965,568.89
5607.000,0.998437,19969,640.00
5667.000,0.998633,19973,731.43
5731.000,0.998828,19977,853.33
5783.000,0.999023,19981,1024.00
5839.000,0.999121,19983,1137.78
5919.000,0.999219,19985,1280.00
5999.000,0.999316,19987,1462.86
6307.000,0.999414,19989,1706.67
6459.000,0.999512,19991,2048.00
6867.000,0.999561,19992,2275.56
7463.000,0.999609,19993,2560.00
7563.000,0.999658,19994,2925.71
7919.000,0.999707,19995,3413.33
8839.000,0.999756,19996,4096.00
8839.000,0.999780,19996,4551.11
9055.000,0.999805,19997,5120.00
9055.000,0.999829,19997,5851.43
11191.000,0.999854,19998,6826.67
11191.000,0.999878,19998,8192.00
11191.000,0.999890,19998,9102.22
11383.000,0.999902,19999,10240.00
11383.000,0.999915,19999,11702.86
11383.000,0.999927,19999,13653.33
11383.000,0.999939,19999,16384.00
11383.000,0.999945,19999,18204.44
18847.000,0.999951,20000,20480.00
18847.000,1.000000,20000,inf
