Value,Percentile,TotalCount,1/(1-Percentile)
22159.000,0.000000,1,1.00
22719.000,0.100000,2031,1.11
22831.000,0.200000,4393,1.25
22895.000,0.300000,6301,1.43
22959.000,0.400000,8175,1.67
23023.000,0.500000,10155,2.00
23055.000,0.550000,11158,2.22
23087.000,0.600000,12146,2.50
23119.000,0.650000,13042,2.86
23167.000,0.700000,14253,3.33
23215.000,0.750000,15261,4.00
23231.000,0.775000,15590,4.44
23263.000,0.800000,16129,5.00
23295.000,0.825000,16557,5.71
23343.000,0.850000,17093,6.67
23391.000,0.875000,17541,8.00
23423.000,0.887500,17968,8.89
23439.000,0.900000,18465,10.00
23439.000,0.912500,18465,11.43
23455.000,0.925000,18807,13.33
23455.000,0.937500,18807,16.00
23471.000,0.943750,18894,17.78
23503.000,0.950000,19040,20.00
23551.000,0.956250,19156,22.86
23599.000,0.962500,19254,26.67
23695.000,0.968750,19375,32.00
23759.000,0.971875,19442,35.56
23983.000,0.975000,19507,40.00
24095.000,0.978125,19564,45.71
24479.000,0.981250,19625,53.33
25199.000,0.984375,19688,64.00
25647.000,0.985938,19719,71.11
26143.000,0.987500,19750,80.00
26607.000,0.989062,19782,91.43
27567.000,0.990625,19813,106.67
50239.000,0.992188,19844,128.00
188543.000,0.992969,19860,142.22
193535.000,0.993750,19875,160.00
207231.000,0.994531,19891,182.86
242943.000,0.995313,19909,213.33
248959.000,0.996094,19922,256.00
262655.000,0.996484,19930,284.44
279807.000,0.996875,19938,320.00
283135.000,0.997266,19946,365.71
319487.000,0.997656,19954,426.67
349183.000,0.998047,19961,512.00
351743.000,0.998242,19965,568.89
403455.000,0.998437,19969,640.00
471295.000,0.998633,19973,731.43
479487.000,0.998828,19977,853.33
480511.000,0.999023,19981,1024.00
481279.000,0.999121,19983,1137.78
482303.000,0.999219,19985,1280.00
492031.000,0.999316,19987,1462.86
501247.000,0.999414,19989,1706.67
537599.000,0.999512,19991,2048.00
548863.000,0.999561,19992,2275.56
549375.000,0.999609,19993,2560.00
555519.000,0.999658,19994,2925.71
570367.000,0.999707,19995,3413.33
587263.000,0.999756,19996,4096.00
587263.000,0.999780,19996,4551.11
590335.000,0.999805,19997,5120.00
590335.000,0.999829,19997,5851.43
627711.000,0.999854,19998,6826.67
627711.000,0.999878,19998,8192.00
627711.000,0.999890,19998,9102.22
658431.000,0.999902,19999,10240.00
658431.000,0.999915,19999,11702.86
658431.000,0.999927,19999,13653.33
658431.000,0.999939,19999,16384.00
658431.000,0.999945,19999,18204.44
703999.000,0.999951,20000,20480.00
703999.000,1.000000,20000,inf
