Value,Percentile,TotalCount,1/(1-Percentile)
2687.000,0.000000,2,1.00
3207.000,0.100000,2033,1.11
3263.000,0.200000,4002,1.25
3293.000,0.300000,6052,1.43
3313.000,0.400000,8013,1.67
3331.000,0.500000,10080,2.00
3341.000,0.550000,11166,2.22
3349.000,0.600000,12011,2.50
3359.000,0.650000,13025,2.86
3371.000,0.700000,14049,3.33
3385.000,0.750000,15000,4.00
3395.000,0.775000,15565,4.44
3405.000,0.800000,16026,5.00
3419.000,0.825000,16507,5.71
3439.000,0.850000,17021,6.67
3475.000,0.875000,17510,8.00
3509.000,0.887500,17752,8.89
3545.000,0.900000,18004,10.00
3577.000,0.912500,18257,11.43
3607.000,0.925000,18510,13.33
3639.000,0.937500,18752,16.00
3655.000,0.943750,18883,17.78
3675.000,0.950000,19007,20.00
3701.000,0.956250,19131,22.86
3725.000,0.962500,19254,26.67
3767.000,0.968750,19376,32.00
3791.000,0.971875,19438,35.56
3811.000,0.975000,19500,40.00
3837.000,0.978125,19563,45.71
3871.000,0.981250,19625,53.33
4027.000,0.984375,19688,64.00
4215.000,0.985938,19719,71.11
4687.000,0.987500,19750,80.00
5279.000,0.989062,19782,91.43
5659.000,0.990625,19813,106.67
6063.000,0.992188,19844,128.00
6459.000,0.992969,19860,142.22
6595.000,0.993750,19877,160.00
6703.000,0.994531,19891,182.86
6803.000,0.995313,19907,213.33
6939.000,0.996094,19922,256.00
7015.000,0.996484,19930,284.44
7143.000,0.996875,19938,320.00
7719.000,0.997266,19946,365.71
8143.000,0.997656,19954,426.67
8375.000,0.998047,19961,512.00
8791.000,0.998242,19965,568.89
11711.000,0.998437,19969,640.00
19503.000,0.998633,19973,731.43
160255.000,0.998828,19977,853.33
168063.000,0.999023,19981,1024.00
169343.000,0.999121,19983,1137.78
178815.000,0.999219,19985,1280.00
253567.000,0.999316,19987,1462.86
254079.000,0.999414,19989,1706.67
313343.000,0.999512,19991,2048.00
323583.000,0.999561,19992,2275.56
397055.000,0.999609,19993,2560.00
412671.000,0.999658,19994,2925.71
414463.000,0.999707,19995,3413.33
415231.000,0.999756,19996,4096.00
415231.000,0.999780,19996,4551.11
432895.000,0.999805,19997,5120.00
432895.000,0.999829,19997,5851.43
433663.000,0.999854,19998,6826.67
433663.000,0.999878,19998,8192.00
433663.000,0.999890,19998,9102.22
434175.000,0.999902,19999,10240.00
434175.000,0.999915,19999,11702.86
434175.000,0.999927,19999,13653.33
434175.000,0.999939,19999,16384.00
434175.000,0.999945,19999,18204.44
453375.000,0.999951,20000,20480.00
453375.000,1.000000,20000,inf
