Value,Percentile,TotalCount,1/(1-Percentile)
848383.000,0.000000,1,1.00
1354751.000,0.100000,2013,1.11
1463295.000,0.200000,4014,1.25
1527807.000,0.300000,6010,1.43
1577983.000,0.400000,8010,1.67
1616895.000,0.500000,10032,2.00
1631231.000,0.550000,11030,2.22
1643519.000,0.600000,12068,2.50
1652735.000,0.650000,13099,2.86
1658879.000,0.700000,14090,3.33
1666047.000,0.750000,15059,4.00
1671167.000,0.775000,15512,4.44
1679359.000,0.800000,16017,5.00
1689599.000,0.825000,16532,5.71
1700863.000,0.850000,17039,6.67
1715199.000,0.875000,17512,8.00
1725439.000,0.887500,17751,8.89
1737727.000,0.900000,18019,10.00
1747967.000,0.912500,18276,11.43
1756159.000,0.925000,18512,13.33
1764351.000,0.937500,18756,16.00
1769471.000,0.943750,18882,17.78
1775615.000,0.950000,19000,20.00
1783807.000,0.956250,19136,22.86
1791999.000,0.962500,19258,26.67
1799167.000,0.968750,19375,32.00
1804287.000,0.971875,19441,35.56
1809407.000,0.975000,19510,40.00
1815551.000,0.978125,19564,45.71
1828863.000,0.981250,19629,53.33
1844223.000,0.984375,19689,64.00
1853439.000,0.985938,19720,71.11
1862655.000,0.987500,19750,80.00
1872895.000,0.989062,19784,91.43
1881087.000,0.990625,19814,106.67
1892351.000,0.992188,19846,128.00
1898495.000,0.992969,19860,142.22
1907711.000,0.993750,19879,160.00
1912831.000,0.994531,19892,182.86
1924095.000,0.995313,19907,213.33
1987583.000,0.996094,19922,256.00
2018303.000,0.996484,19930,284.44
2064383.000,0.996875,19938,320.00
2096127.000,0.997266,19946,365.71
2125823.000,0.997656,19955,426.67
2158591.000,0.998047,19961,512.00
2205695.000,0.998242,19965,568.89
2269183.000,0.998437,19969,640.00
2381823.000,0.998633,19974,731.43
2412543.000,0.998828,19977,853.33
2484223.000,0.999023,19981,1024.00
2564095.000,0.999121,19983,1137.78
2629631.000,0.999219,19985,1280.00
2650111.000,0.999316,19987,1462.86
2676735.000,0.999414,19989,1706.67
2717695.000,0.999512,19991,2048.00
2768895.000,0.999561,19992,2275.56
2803711.000,0.999609,19993,2560.00
2854911.000,0.999658,19994,2925.71
2869247.000,0.999707,19995,3413.33
3506175.000,0.999756,19996,4096.00
3506175.000,0.999780,19996,4551.11
3545087.000,0.999805,19997,5120.00
3545087.000,0.999829,19997,5851.43
3684351.000,0.999854,19998,6826.67
3684351.000,0.999878,19998,8192.00
3684351.000,0.999890,19998,9102.22
3721215.000,0.999902,19999,10240.00
3721215.000,0.999915,19999,11702.86
3721215.000,0.999927,19999,13653.33
3721215.000,0.999939,19999,16384.00
3721215.000,0.999945,19999,18204.44
4653055.000,0.999951,20000,20480.00
4653055.000,1.000000,20000,inf
