Value,Percentile,TotalCount,1/(1-Percentile)
603647.000,0.000000,1,1.00
1005567.000,0.100000,2010,1.11
1078271.000,0.200000,4027,1.25
1128447.000,0.300000,6026,1.43
1164287.000,0.400000,8046,1.67
1192959.000,0.500000,10051,2.00
1203199.000,0.550000,11061,2.22
1212415.000,0.600000,12009,2.50
1220607.000,0.650000,13088,2.86
1226751.000,0.700000,14068,3.33
1231871.000,0.750000,15195,4.00
1233919.000,0.775000,15755,4.44
1234943.000,0.800000,16009,5.00
1236991.000,0.825000,16520,5.71
1239039.000,0.850000,17002,6.67
1242111.000,0.875000,17516,8.00
1244159.000,0.887500,17777,8.89
1247231.000,0.900000,18047,10.00
1250303.000,0.912500,18272,11.43
1254399.000,0.925000,18526,13.33
1258495.000,0.937500,18765,16.00
1260543.000,0.943750,18880,17.78
1263615.000,0.950000,19039,20.00
1265663.000,0.956250,19131,22.86
1269759.000,0.962500,19257,26.67
1274879.000,0.968750,19392,32.00
1277951.000,0.971875,19450,35.56
1282047.000,0.975000,19514,40.00
1286143.000,0.978125,19567,45.71
1290239.000,0.981250,19628,53.33
1295359.000,0.984375,19690,64.00
1299455.000,0.985938,19721,71.11
1303551.000,0.987500,19751,80.00
1309695.000,0.989062,19791,91.43
1313791.000,0.990625,19820,106.67
1317887.000,0.992188,19847,128.00
1319935.000,0.992969,19863,142.22
1323007.000,0.993750,19879,160.00
1325055.000,0.994531,19891,182.86
1331199.000,0.995313,19907,213.33
1341439.000,0.996094,19922,256.00
1352703.000,0.996484,19930,284.44
1362943.000,0.996875,19938,320.00
1372159.000,0.997266,19946,365.71
1384447.000,0.997656,19954,426.67
1401855.000,0.998047,19961,512.00
1422335.000,0.998242,19965,568.89
1437695.000,0.998437,19970,640.00
1453055.000,0.998633,19973,731.43
1467391.000,0.998828,19977,853.33
1502207.000,0.999023,19981,1024.00
1518591.000,0.999121,19983,1137.78
1531903.000,0.999219,19985,1280.00
1542143.000,0.999316,19987,1462.86
1581055.000,0.999414,19989,1706.67
1609727.000,0.999512,19991,2048.00
1616895.000,0.999561,19992,2275.56
1618943.000,0.999609,19993,2560.00
1625087.000,0.999658,19994,2925.71
1628159.000,0.999707,19995,3413.33
1631231.000,0.999756,19996,4096.00
1631231.000,0.999780,19996,4551.11
1683455.000,0.999805,19997,5120.00
1683455.000,0.999829,19997,5851.43
1696767.000,0.999854,19998,6826.67
1696767.000,0.999878,19998,8192.00
1696767.000,0.999890,19998,9102.22
1753087.000,0.999902,19999,10240.00
1753087.000,0.999915,19999,11702.86
1753087.000,0.999927,19999,13653.33
1753087.000,0.999939,19999,16384.00
1753087.000,0.999945,19999,18204.44
1928191.000,0.999951,20000,20480.00
1928191.000,1.000000,20000,inf
