Value,Percentile,TotalCount,1/(1-Percentile)
13495.000,0.000000,1,1.00
14151.000,0.100000,2021,1.11
14287.000,0.200000,4128,1.25
14383.000,0.300000,6160,1.43
14471.000,0.400000,8175,1.67
14559.000,0.500000,10159,2.00
14599.000,0.550000,11018,2.22
14655.000,0.600000,12094,2.50
14711.000,0.650000,13070,2.86
14775.000,0.700000,14032,3.33
14855.000,0.750000,15005,4.00
14911.000,0.775000,15553,4.44
14967.000,0.800000,16014,5.00
15039.000,0.825000,16551,5.71
15127.000,0.850000,17045,6.67
15247.000,0.875000,17517,8.00
15327.000,0.887500,17755,8.89
15447.000,0.900000,18007,10.00
15663.000,0.912500,18258,11.43
16071.000,0.925000,18500,13.33
17151.000,0.937500,18750,16.00
18431.000,0.943750,18876,17.78
19887.000,0.950000,19001,20.00
21423.000,0.956250,19126,22.86
22271.000,0.962500,19254,26.67
22895.000,0.968750,19376,32.00
23263.000,0.971875,19438,35.56
23631.000,0.975000,19500,40.00
23967.000,0.978125,19563,45.71
24399.000,0.981250,19626,53.33
24767.000,0.984375,19688,64.00
25023.000,0.985938,19719,71.11
25279.000,0.987500,19753,80.00
25439.000,0.989062,19784,91.43
25855.000,0.990625,19813,106.67
26367.000,0.992188,19844,128.00
26639.000,0.992969,19860,142.22
26895.000,0.993750,19876,160.00
27263.000,0.994531,19891,182.86
27631.000,0.995313,19907,213.33
28095.000,0.996094,19922,256.00
28383.000,0.996484,19930,284.44
28607.000,0.996875,19938,320.00
29055.000,0.997266,19946,365.71
29583.000,0.997656,19954,426.67
30159.000,0.998047,19961,512.00
30447.000,0.998242,19965,568.89
30799.000,0.998437,19969,640.00
31311.000,0.998633,19973,731.43
31951.000,0.998828,19977,853.33
32575.000,0.999023,19981,1024.00
32991.000,0.999121,19983,1137.78
33215.000,0.999219,19985,1280.00
33855.000,0.999316,19987,1462.86
34495.000,0.999414,19989,1706.67
37599.000,0.999512,19991,2048.00
38079.000,0.999561,19992,2275.56
38623.000,0.999609,19993,2560.00
41567.000,0.999658,19994,2925.71
42335.000,0.999707,19995,3413.33
42623.000,0.999756,19996,4096.00
42623.000,0.999780,19996,4551.11
42975.000,0.999805,19997,5120.00
42975.000,0.999829,19997,5851.43
43647.000,0.999854,19998,6826.67
43647.000,0.999878,19998,8192.00
43647.000,0.999890,19998,9102.22
47039.000,0.999902,19999,10240.00
47039.000,0.999915,19999,11702.86
47039.000,0.999927,19999,13653.33
47039.000,0.999939,19999,16384.00
47039.000,0.999945,19999,18204.44
47551.000,0.999951,20000,20480.00
47551.000,1.000000,20000,inf
