Value,Percentile,TotalCount,1/(1-Percentile)
11847.000,0.000000,1,1.00
12711.000,0.100000,2041,1.11
12807.000,0.200000,4136,1.25
12887.000,0.300000,6095,1.43
12975.000,0.400000,8178,1.67
13063.000,0.500000,10005,2.00
13127.000,0.550000,11126,2.22
13183.000,0.600000,12096,2.50
13239.000,0.650000,13086,2.86
13295.000,0.700000,14037,3.33
13359.000,0.750000,15052,4.00
13391.000,0.775000,15557,4.44
13423.000,0.800000,16027,5.00
13463.000,0.825000,16525,5.71
13519.000,0.850000,17042,6.67
13591.000,0.875000,17527,8.00
13639.000,0.887500,17759,8.89
13703.000,0.900000,18014,10.00
13799.000,0.912500,18264,11.43
13911.000,0.925000,18528,13.33
14031.000,0.937500,18763,16.00
14111.000,0.943750,18882,17.78
14215.000,0.950000,19003,20.00
14343.000,0.956250,19125,22.86
14519.000,0.962500,19251,26.67
14799.000,0.968750,19375,32.00
14967.000,0.971875,19438,35.56
15343.000,0.975000,19501,40.00
15727.000,0.978125,19564,45.71
16223.000,0.981250,19625,53.33
16703.000,0.984375,19689,64.00
16911.000,0.985938,19721,71.11
17167.000,0.987500,19750,80.00
17743.000,0.989062,19783,91.43
19471.000,0.990625,19813,106.67
26063.000,0.992188,19844,128.00
26303.000,0.992969,19860,142.22
26927.000,0.993750,19875,160.00
35167.000,0.994531,19891,182.86
37439.000,0.995313,19908,213.33
37631.000,0.996094,19922,256.00
37951.000,0.996484,19930,284.44
38111.000,0.996875,19938,320.00
38431.000,0.997266,19946,365.71
40511.000,0.997656,19954,426.67
247679.000,0.998047,19961,512.00
252031.000,0.998242,19965,568.89
261503.000,0.998437,19969,640.00
329471.000,0.998633,19973,731.43
358911.000,0.998828,19977,853.33
380159.000,0.999023,19981,1024.00
403199.000,0.999121,19983,1137.78
415743.000,0.999219,19985,1280.00
419839.000,0.999316,19987,1462.86
426239.000,0.999414,19989,1706.67
433151.000,0.999512,19991,2048.00
436479.000,0.999561,19992,2275.56
441087.000,0.999609,19993,2560.00
443391.000,0.999658,19994,2925.71
444671.000,0.999707,19995,3413.33
445695.000,0.999756,19996,4096.00
445695.000,0.999780,19996,4551.11
448255.000,0.999805,19997,5120.00
448255.000,0.999829,19997,5851.43
454143.000,0.999854,19998,6826.67
454143.000,0.999878,19998,8192.00
454143.000,0.999890,19998,9102.22
456191.000,0.999902,19999,10240.00
456191.000,0.999915,19999,11702.86
456191.000,0.999927,19999,13653.33
456191.000,0.999939,19999,16384.00
456191.000,0.999945,19999,18204.44
457215.000,0.999951,20000,20480.00
457215.000,1.000000,20000,inf
