Value,Percentile,TotalCount,1/(1-Percentile)
7863.000,0.000000,1,1.00
9391.000,0.100000,2076,1.11
9511.000,0.200000,4012,1.25
9607.000,0.300000,6023,1.43
9719.000,0.400000,8105,1.67
9839.000,0.500000,10005,2.00
9911.000,0.550000,11019,2.22
9991.000,0.600000,12053,2.50
10079.000,0.650000,13052,2.86
10175.000,0.700000,14065,3.33
10303.000,0.750000,15002,4.00
10383.000,0.775000,15511,4.44
10487.000,0.800000,16025,5.00
10607.000,0.825000,16512,5.71
10759.000,0.850000,17022,6.67
10967.000,0.875000,17516,8.00
11095.000,0.887500,17759,8.89
11263.000,0.900000,18004,10.00
11487.000,0.912500,18252,11.43
11799.000,0.925000,18500,13.33
12199.000,0.937500,18752,16.00
12463.000,0.943750,18877,17.78
12695.000,0.950000,19002,20.00
12991.000,0.956250,19128,22.86
13311.000,0.962500,19250,26.67
13711.000,0.968750,19376,32.00
13895.000,0.971875,19439,35.56
14175.000,0.975000,19501,40.00
14495.000,0.978125,19563,45.71
14767.000,0.981250,19625,53.33
15199.000,0.984375,19689,64.00
15503.000,0.985938,19720,71.11
15807.000,0.987500,19751,80.00
16183.000,0.989062,19782,91.43
16799.000,0.990625,19815,106.67
17647.000,0.992188,19844,128.00
19327.000,0.992969,19860,142.22
21103.000,0.993750,19875,160.00
22991.000,0.994531,19891,182.86
24687.000,0.995313,19907,213.33
31071.000,0.996094,19922,256.00
33183.000,0.996484,19930,284.44
34559.000,0.996875,19939,320.00
36511.000,0.997266,19946,365.71
219391.000,0.997656,19954,426.67
265727.000,0.998047,19961,512.00
275199.000,0.998242,19965,568.89
279551.000,0.998437,19969,640.00
287743.000,0.998633,19973,731.43
298751.000,0.998828,19977,853.33
326399.000,0.999023,19981,1024.00
327935.000,0.999121,19983,1137.78
328959.000,0.999219,19985,1280.00
331519.000,0.999316,19987,1462.86
364031.000,0.999414,19989,1706.67
387583.000,0.999512,19991,2048.00
397823.000,0.999561,19992,2275.56
399615.000,0.999609,19993,2560.00
409599.000,0.999658,19994,2925.71
423935.000,0.999707,19995,3413.33
425215.000,0.999756,19997,4096.00
425215.000,0.999780,19997,4551.11
425215.000,0.999805,19997,5120.00
425215.000,0.999829,19997,5851.43
426751.000,0.999854,19998,6826.67
426751.000,0.999878,19998,8192.00
426751.000,0.999890,19998,9102.22
456447.000,0.999902,19999,10240.00
456447.000,0.999915,19999,11702.86
456447.000,0.999927,19999,13653.33
456447.000,0.999939,19999,16384.00
456447.000,0.999945,19999,18204.44
467199.000,0.999951,20000,20480.00
467199.000,1.000000,20000,inf
