Value,Percentile,TotalCount,1/(1-Percentile)
11215.000,0.000000,1,1.00
11911.000,0.100000,2025,1.11
12055.000,0.200000,4139,1.25
12159.000,0.300000,6099,1.43
12247.000,0.400000,8033,1.67
12335.000,0.500000,10037,2.00
12383.000,0.550000,11164,2.22
12423.000,0.600000,12052,2.50
12471.000,0.650000,13165,2.86
12511.000,0.700000,14007,3.33
12567.000,0.750000,15098,4.00
12591.000,0.775000,15517,4.44
12623.000,0.800000,16003,5.00
12663.000,0.825000,16590,5.71
12703.000,0.850000,17082,6.67
12743.000,0.875000,17529,8.00
12775.000,0.887500,17814,8.89
12807.000,0.900000,18064,10.00
12839.000,0.912500,18296,11.43
12871.000,0.925000,18508,13.33
12919.000,0.937500,18763,16.00
12943.000,0.943750,18876,17.78
12975.000,0.950000,19006,20.00
13015.000,0.956250,19145,22.86
13055.000,0.962500,19270,26.67
13111.000,0.968750,19376,32.00
13151.000,0.971875,19442,35.56
13191.000,0.975000,19504,40.00
13247.000,0.978125,19568,45.71
13295.000,0.981250,19627,53.33
13415.000,0.984375,19690,64.00
13527.000,0.985938,19721,71.11
13823.000,0.987500,19750,80.00
14607.000,0.989062,19782,91.43
15815.000,0.990625,19813,106.67
18447.000,0.992188,19844,128.00
21471.000,0.992969,19860,142.22
22863.000,0.993750,19875,160.00
24831.000,0.994531,19891,182.86
28095.000,0.995313,19907,213.33
30575.000,0.996094,19922,256.00
31951.000,0.996484,19930,284.44
33535.000,0.996875,19938,320.00
35007.000,0.997266,19946,365.71
35935.000,0.997656,19954,426.67
36927.000,0.998047,19961,512.00
37247.000,0.998242,19965,568.89
47295.000,0.998437,19969,640.00
243967.000,0.998633,19973,731.43
244991.000,0.998828,19977,853.33
246015.000,0.999023,19983,1024.00
246015.000,0.999121,19983,1137.78
404223.000,0.999219,19985,1280.00
405759.000,0.999316,19987,1462.86
408575.000,0.999414,19989,1706.67
409343.000,0.999512,19991,2048.00
410623.000,0.999561,19993,2275.56
410623.000,0.999609,19993,2560.00
412415.000,0.999658,19994,2925.71
412671.000,0.999707,19995,3413.33
415999.000,0.999756,19996,4096.00
415999.000,0.999780,19996,4551.11
420351.000,0.999805,19997,5120.00
420351.000,0.999829,19997,5851.43
423679.000,0.999854,19998,6826.67
423679.000,0.999878,19998,8192.00
423679.000,0.999890,19998,9102.22
427263.000,0.999902,19999,10240.00
427263.000,0.999915,19999,11702.86
427263.000,0.999927,19999,13653.33
427263.000,0.999939,19999,16384.00
427263.000,0.999945,19999,18204.44
438015.000,0.999951,20000,20480.00
438015.000,1.000000,20000,inf
