Value,Percentile,TotalCount,1/(1-Percentile)
7079.000,0.000000,1,1.00
7619.000,0.100000,2062,1.11
7683.000,0.200000,4134,1.25
7731.000,0.300000,6149,1.43
7771.000,0.400000,8168,1.67
7811.000,0.500000,10186,2.00
7827.000,0.550000,11018,2.22
7851.000,0.600000,12137,2.50
7871.000,0.650000,13013,2.86
7895.000,0.700000,14007,3.33
7927.000,0.750000,15089,4.00
7943.000,0.775000,15522,4.44
7963.000,0.800000,16039,5.00
7987.000,0.825000,16560,5.71
8015.000,0.850000,17042,6.67
8047.000,0.875000,17539,8.00
8067.000,0.887500,17760,8.89
8095.000,0.900000,18010,10.00
8127.000,0.912500,18266,11.43
8167.000,0.925000,18509,13.33
8231.000,0.937500,18763,16.00
8271.000,0.943750,18890,17.78
8311.000,0.950000,19005,20.00
8367.000,0.956250,19139,22.86
8423.000,0.962500,19252,26.67
8495.000,0.968750,19387,32.00
8527.000,0.971875,19441,35.56
8567.000,0.975000,19500,40.00
8631.000,0.978125,19564,45.71
8719.000,0.981250,19627,53.33
8847.000,0.984375,19689,64.00
8935.000,0.985938,19721,71.11
9031.000,0.987500,19752,80.00
9215.000,0.989062,19782,91.43
9463.000,0.990625,19813,106.67
9807.000,0.992188,19844,128.00
9999.000,0.992969,19860,142.22
10255.000,0.993750,19875,160.00
10639.000,0.994531,19891,182.86
11151.000,0.995313,19907,213.33
13511.000,0.996094,19922,256.00
18655.000,0.996484,19930,284.44
19823.000,0.996875,19938,320.00
20943.000,0.997266,19946,365.71
31503.000,0.997656,19954,426.67
32479.000,0.998047,19961,512.00
32959.000,0.998242,19965,568.89
34591.000,0.998437,19969,640.00
38015.000,0.998633,19973,731.43
205055.000,0.998828,19977,853.33
218879.000,0.999023,19981,1024.00
219135.000,0.999121,19983,1137.78
219903.000,0.999219,19985,1280.00
275199.000,0.999316,19987,1462.86
377855.000,0.999414,19989,1706.67
379903.000,0.999512,19991,2048.00
387839.000,0.999561,19992,2275.56
389375.000,0.999609,19993,2560.00
391423.000,0.999658,19994,2925.71
391935.000,0.999707,19995,3413.33
400639.000,0.999756,19996,4096.00
400639.000,0.999780,19996,4551.11
405759.000,0.999805,19997,5120.00
405759.000,0.999829,19997,5851.43
409343.000,0.999854,19998,6826.67
409343.000,0.999878,19998,8192.00
409343.000,0.999890,19998,9102.22
417279.000,0.999902,19999,10240.00
417279.000,0.999915,19999,11702.86
417279.000,0.999927,19999,13653.33
417279.000,0.999939,19999,16384.00
417279.000,0.999945,19999,18204.44
424191.000,0.999951,20000,20480.00
424191.000,1.000000,20000,inf
