Value,Percentile,TotalCount,1/(1-Percentile)
12663.000,0.000000,1,1.00
15319.000,0.100000,503,1.11
15543.000,0.200000,1010,1.25
15711.000,0.300000,1510,1.43
15863.000,0.400000,2000,1.67
16015.000,0.500000,2523,2.00
16087.000,0.550000,2755,2.22
16175.000,0.600000,3010,2.50
16263.000,0.650000,3264,2.86
16367.000,0.700000,3506,3.33
16527.000,0.750000,3776,4.00
16607.000,0.775000,3875,4.44
16719.000,0.800000,4010,5.00
16847.000,0.825000,4135,5.71
17007.000,0.850000,4251,6.67
17231.000,0.875000,4382,8.00
17359.000,0.887500,4444,8.89
17487.000,0.900000,4502,10.00
17647.000,0.912500,4564,11.43
17823.000,0.925000,4626,13.33
18127.000,0.937500,4691,16.00
18255.000,0.943750,4723,17.78
18399.000,0.950000,4755,20.00
18623.000,0.956250,4783,22.86
18895.000,0.962500,4816,26.67
19151.000,0.968750,4844,32.00
19359.000,0.971875,4862,35.56
19551.000,0.975000,4875,40.00
19903.000,0.978125,4891,45.71
20271.000,0.981250,4907,53.33
20735.000,0.984375,4922,64.00
20991.000,0.985938,4930,71.11
21519.000,0.987500,4938,80.00
22207.000,0.989062,4946,91.43
22751.000,0.990625,4954,106.67
25327.000,0.992188,4961,128.00
32143.000,0.992969,4965,142.22
40927.000,0.993750,4969,160.00
45055.000,0.994531,4973,182.86
294143.000,0.995313,4977,213.33
339967.000,0.996094,4981,256.00
381951.000,0.996484,4983,284.44
384255.000,0.996875,4985,320.00
400383.000,0.997266,4987,365.71
402431.000,0.997656,4989,426.67
404223.000,0.998047,4991,512.00
438783.000,0.998242,4992,568.89
444415.000,0.998437,4993,640.00
455167.000,0.998633,4994,731.43
471551.000,0.998828,4995,853.33
526847.000,0.999023,4997,1024.00
526847.000,0.999121,4997,1137.78
526847.000,0.999219,4997,1280.00
526847.000,0.999316,4997,1462.86
602623.000,0.999414,4998,1706.67
602623.000,0.999512,4998,2048.00
602623.000,0.999561,4998,2275.56
679935.000,0.999609,4999,2560.00
679935.000,0.999658,4999,2925.71
679935.000,0.999707,4999,3413.33
679935.000,0.999756,4999,4096.00
679935.000,0.999780,4999,4551.11
681983.000,0.999805,5000,5120.00
681983.000,1.000000,5000,inf
