Value,Percentile,TotalCount,1/(1-Percentile)
5355.000,0.000000,1,1.00
5935.000,0.100000,507,1.11
6079.000,0.200000,1013,1.25
6191.000,0.300000,1517,1.43
6279.000,0.400000,2016,1.67
6363.000,0.500000,2513,2.00
6407.000,0.550000,2752,2.22
6455.000,0.600000,3011,2.50
6499.000,0.650000,3257,2.86
6547.000,0.700000,3516,3.33
6599.000,0.750000,3750,4.00
6627.000,0.775000,3887,4.44
6659.000,0.800000,4000,5.00
6703.000,0.825000,4139,5.71
6747.000,0.850000,4250,6.67
6803.000,0.875000,4375,8.00
6835.000,0.887500,4441,8.89
6863.000,0.900000,4506,10.00
6899.000,0.912500,4566,11.43
6935.000,0.925000,4627,13.33
6991.000,0.937500,4688,16.00
7023.000,0.943750,4724,17.78
7047.000,0.950000,4750,20.00
7111.000,0.956250,4784,22.86
7151.000,0.962500,4813,26.67
7211.000,0.968750,4846,32.00
7271.000,0.971875,4861,35.56
7303.000,0.975000,4875,40.00
7383.000,0.978125,4893,45.71
7431.000,0.981250,4907,53.33
7515.000,0.984375,4922,64.00
7551.000,0.985938,4930,71.11
7595.000,0.987500,4938,80.00
7695.000,0.989062,4946,91.43
7843.000,0.990625,4954,106.67
8003.000,0.992188,4961,128.00
8131.000,0.992969,4965,142.22
8163.000,0.993750,4969,160.00
9095.000,0.994531,4973,182.86
9647.000,0.995313,4977,213.33
9903.000,0.996094,4981,256.00
11247.000,0.996484,4983,284.44
16671.000,0.996875,4985,320.00
24687.000,0.997266,4987,365.71
227967.000,0.997656,4989,426.67
268031.000,0.998047,4991,512.00
277247.000,0.998242,4992,568.89
311295.000,0.998437,4993,640.00
316671.000,0.998633,4994,731.43
454399.000,0.998828,4995,853.33
468223.000,0.999023,4996,1024.00
468223.000,0.999121,4996,1137.78
470015.000,0.999219,4997,1280.00
470015.000,0.999316,4997,1462.86
518143.000,0.999414,4998,1706.67
518143.000,0.999512,4998,2048.00
518143.000,0.999561,4998,2275.56
550911.000,0.999609,4999,2560.00
550911.000,0.999658,4999,2925.71
550911.000,0.999707,4999,3413.33
550911.000,0.999756,4999,4096.00
550911.000,0.999780,4999,4551.11
557567.000,0.999805,5000,5120.00
557567.000,1.000000,5000,inf
