Value,Percentile,TotalCount,1/(1-Percentile)
18207.000,0.000000,1,1.00
18927.000,0.100000,529,1.11
19055.000,0.200000,1043,1.25
19167.000,0.300000,1528,1.43
19295.000,0.400000,2030,1.67
19455.000,0.500000,2519,2.00
19567.000,0.550000,2788,2.22
19679.000,0.600000,3012,2.50
19823.000,0.650000,3252,2.86
20031.000,0.700000,3500,3.33
20415.000,0.750000,3750,4.00
20687.000,0.775000,3880,4.44
20991.000,0.800000,4008,5.00
21327.000,0.825000,4134,5.71
21631.000,0.850000,4251,6.67
21967.000,0.875000,4376,8.00
22175.000,0.887500,4444,8.89
22415.000,0.900000,4501,10.00
22671.000,0.912500,4567,11.43
22927.000,0.925000,4626,13.33
23311.000,0.937500,4688,16.00
23567.000,0.943750,4720,17.78
23807.000,0.950000,4752,20.00
24223.000,0.956250,4783,22.86
24671.000,0.962500,4813,26.67
25151.000,0.968750,4844,32.00
25567.000,0.971875,4860,35.56
25919.000,0.975000,4875,40.00
26399.000,0.978125,4891,45.71
27135.000,0.981250,4907,53.33
27903.000,0.984375,4922,64.00
29999.000,0.985938,4930,71.11
31759.000,0.987500,4938,80.00
35487.000,0.989062,4946,91.43
41471.000,0.990625,4954,106.67
46111.000,0.992188,4961,128.00
61343.000,0.992969,4965,142.22
189055.000,0.993750,4969,160.00
194687.000,0.994531,4973,182.86
196863.000,0.995313,4978,213.33
240127.000,0.996094,4981,256.00
241663.000,0.996484,4983,284.44
242687.000,0.996875,4985,320.00
277759.000,0.997266,4987,365.71
279551.000,0.997656,4989,426.67
297471.000,0.998047,4991,512.00
307711.000,0.998242,4992,568.89
308223.000,0.998437,4993,640.00
503295.000,0.998633,4994,731.43
507135.000,0.998828,4995,853.33
509183.000,0.999023,4996,1024.00
509183.000,0.999121,4996,1137.78
523263.000,0.999219,4997,1280.00
523263.000,0.999316,4997,1462.86
524031.000,0.999414,4998,1706.67
524031.000,0.999512,4998,2048.00
524031.000,0.999561,4998,2275.56
533503.000,0.999609,4999,2560.00
533503.000,0.999658,4999,2925.71
533503.000,0.999707,4999,3413.33
533503.000,0.999756,4999,4096.00
533503.000,0.999780,4999,4551.11
577023.000,0.999805,5000,5120.00
577023.000,1.000000,5000,inf
