Value,Percentile,TotalCount,1/(1-Percentile)
5475.000,0.000000,1,1.00
5671.000,0.100000,514,1.11
5699.000,0.200000,1071,1.25
5715.000,0.300000,1639,1.43
5727.000,0.400000,2011,1.67
5755.000,0.500000,2548,2.00
5775.000,0.550000,2808,2.22
5795.000,0.600000,3004,2.50
5831.000,0.650000,3269,2.86
5871.000,0.700000,3518,3.33
5923.000,0.750000,3751,4.00
5967.000,0.775000,3891,4.44
6007.000,0.800000,4003,5.00
6075.000,0.825000,4130,5.71
6131.000,0.850000,4256,6.67
6199.000,0.875000,4379,8.00
6223.000,0.887500,4446,8.89
6247.000,0.900000,4500,10.00
6283.000,0.912500,4563,11.43
6319.000,0.925000,4625,13.33
6367.000,0.937500,4692,16.00
6399.000,0.943750,4720,17.78
6431.000,0.950000,4751,20.00
6459.000,0.956250,4784,22.86
6499.000,0.962500,4813,26.67
6567.000,0.968750,4845,32.00
6611.000,0.971875,4862,35.56
6663.000,0.975000,4875,40.00
6715.000,0.978125,4891,45.71
6799.000,0.981250,4907,53.33
6975.000,0.984375,4925,64.00
7031.000,0.985938,4930,71.11
7131.000,0.987500,4938,80.00
7307.000,0.989062,4946,91.43
7503.000,0.990625,4954,106.67
8215.000,0.992188,4961,128.00
8975.000,0.992969,4965,142.22
9527.000,0.993750,4969,160.00
10415.000,0.994531,4973,182.86
13271.000,0.995313,4977,213.33
15327.000,0.996094,4981,256.00
16375.000,0.996484,4983,284.44
17119.000,0.996875,4985,320.00
18543.000,0.997266,4987,365.71
28543.000,0.997656,4989,426.67
33023.000,0.998047,4991,512.00
157311.000,0.998242,4992,568.89
157823.000,0.998437,4993,640.00
169471.000,0.998633,4994,731.43
281343.000,0.998828,4995,853.33
316927.000,0.999023,4996,1024.00
316927.000,0.999121,4996,1137.78
422911.000,0.999219,4997,1280.00
422911.000,0.999316,4997,1462.86
509439.000,0.999414,4998,1706.67
509439.000,0.999512,4998,2048.00
509439.000,0.999561,4998,2275.56
534527.000,0.999609,4999,2560.00
534527.000,0.999658,4999,2925.71
534527.000,0.999707,4999,3413.33
534527.000,0.999756,4999,4096.00
534527.000,0.999780,4999,4551.11
622079.000,0.999805,5000,5120.00
622079.000,1.000000,5000,inf
