n,mode,buffer,T,B,M,CR,time_us
500,oneshot,compact,0,0,0,-1,12.962552442664908
1000,oneshot,compact,0,0,0,-1,12.106082785107434
2000,oneshot,compact,0,0,0,-1,12.472182769314708
3000,oneshot,compact,0,0,0,-1,12.784099364172326
4000,oneshot,compact,0,0,0,-1,16.069598100886648
5000,oneshot,compact,0,0,0,-1,16.832929331284937
500,oneshot,compact,0,0,1,-1,8.657189922795922
1000,oneshot,compact,0,0,1,-1,8.295239413829206
2000,oneshot,compact,0,0,1,-1,8.878288413992871
3000,oneshot,compact,0,0,1,-1,9.693045959602697
4000,oneshot,compact,0,0,1,-1,11.296369753035002
5000,oneshot,compact,0,0,1,-1,12.689875393741763
500,oneshot,compact,0,1,0,-1,16.580387954649563
1000,oneshot,compact,0,1,0,-1,15.2022243409303
2000,oneshot,compact,0,1,0,-1,16.620094638559905
3000,oneshot,compact,0,1,0,-1,16.5302474430453
4000,oneshot,compact,0,1,0,-1,18.76835018364699
5000,oneshot,compact,0,1,0,-1,21.180191234812334
500,oneshot,compact,0,1,1,-1,12.356372658790962
1000,oneshot,compact,0,1,1,-1,12.377726362806692
2000,oneshot,compact,0,1,1,-1,13.023199813493518
3000,oneshot,compact,0,1,1,-1,13.015524610042943
4000,oneshot,compact,0,1,1,-1,17.10790922927927
5000,oneshot,compact,0,1,1,-1,17.392261812857384
500,oneshot,compact,1,0,0,-1,11.097127957632075
1000,oneshot,compact,1,0,0,-1,11.519382763912317
2000,oneshot,compact,1,0,0,-1,11.426098839884403
3000,oneshot,compact,1,0,0,-1,11.29259767446412
4000,oneshot,compact,1,0,0,-1,12.348690516155433
5000,oneshot,compact,1,0,0,-1,13.588342888646507
500,oneshot,compact,1,0,1,-1,7.9498204138565
1000,oneshot,compact,1,0,1,-1,7.617969196797613
2000,oneshot,compact,1,0,1,-1,8.331115877959327
3000,oneshot,compact,1,0,1,-1,8.538484437583643
4000,oneshot,compact,1,0,1,-1,8.907664245194743
5000,oneshot,compact,1,0,1,-1,10.19355238081472
500,oneshot,compact,1,1,0,-1,15.049177684929772
1000,oneshot,compact,1,1,0,-1,13.958525780494124
2000,oneshot,compact,1,1,0,-1,14.942118438208162
3000,oneshot,compact,1,1,0,-1,13.799213439593869
4000,oneshot,compact,1,1,0,-1,16.543714263182427
5000,oneshot,compact,1,1,0,-1,20.640184875491972
500,oneshot,compact,1,1,1,-1,10.380625038396037
1000,oneshot,compact,1,1,1,-1,10.508916938676448
2000,oneshot,compact,1,1,1,-1,10.114679249009686
3000,oneshot,compact,1,1,1,-1,10.370554559060002
4000,oneshot,compact,1,1,1,-1,14.542083847447138
5000,oneshot,compact,1,1,1,-1,16.949360295913454
500,oneshot,tree,0,0,0,-1,11.46500486017263
1000,oneshot,tree,0,0,0,-1,12.217306873002704
2000,oneshot,tree,0,0,0,-1,11.553836592028077
3000,oneshot,tree,0,0,0,-1,12.872093554761065
4000,oneshot,tree,0,0,0,-1,15.009570498659741
5000,oneshot,tree,0,0,0,-1,16.822174647261107
500,oneshot,tree,0,0,1,-1,8.17515808070372
1000,oneshot,tree,0,0,1,-1,8.708230708796036
2000,oneshot,tree,0,0,1,-1,8.622206294162904
3000,oneshot,tree,0,0,1,-1,10.979772171182804
4000,oneshot,tree,0,0,1,-1,12.758091289646632
5000,oneshot,tree,0,0,1,-1,12.694707400352206
500,oneshot,tree,0,1,0,-1,15.599226685997545
1000,oneshot,tree,0,1,0,-1,16.217301524514028
2000,oneshot,tree,0,1,0,-1,16.9631839966459
3000,oneshot,tree,0,1,0,-1,17.132383836914496
4000,oneshot,tree,0,1,0,-1,19.656910282023702
5000,oneshot,tree,0,1,0,-1,21.18186138383717
500,oneshot,tree,0,1,1,-1,12.223820158376203
1000,oneshot,tree,0,1,1,-1,12.689754627530377
2000,oneshot,tree,0,1,1,-1,13.4295663263012
3000,oneshot,tree,0,1,1,-1,12.907718234717972
4000,oneshot,tree,0,1,1,-1,15.16955257869603
5000,oneshot,tree,0,1,1,-1,17.307467304874933
500,oneshot,tree,1,0,0,-1,11.298118514036014
1000,oneshot,tree,1,0,0,-1,11.366309190079894
2000,oneshot,tree,1,0,0,-1,12.191203546910172
3000,oneshot,tree,1,0,0,-1,11.656530257140352
4000,oneshot,tree,1,0,0,-1,12.596002210659364
5000,oneshot,tree,1,0,0,-1,13.415264822981365
500,oneshot,tree,1,0,1,-1,7.863214997948424
1000,oneshot,tree,1,0,1,-1,8.389386365743713
