dataset,features,config,n,blocks,first_ns,rest_ns,poll_ns
higgs,28,config0,500,2,5635,781,6417
higgs,28,config0,1000,4,5649,1807,7456
higgs,28,config0,2000,8,6864,4190,11054
higgs,28,config0,5000,20,13905,12047,25952
higgs,28,config1,500,2,6188,387,6575
higgs,28,config1,1000,4,6130,457,6588
higgs,28,config1,2000,8,6214,473,6688
higgs,28,config1,5000,20,7871,701,8573
higgs,28,config2,500,2,3432,1396,4829
higgs,28,config2,1000,4,3651,2375,6027
higgs,28,config2,2000,8,4311,2332,6644
higgs,28,config2,5000,20,13869,1481,15350
epsilon,2000,config0,500,2,8991,484,9475
epsilon,2000,config0,1000,4,10044,1177,11222
epsilon,2000,config0,2000,8,12213,4111,16325
epsilon,2000,config0,5000,20,22049,15561,37611
epsilon,2000,config1,500,2,9741,345,10087
epsilon,2000,config1,1000,4,10421,551,10972
epsilon,2000,config1,2000,8,13276,531,13808
epsilon,2000,config1,5000,20,22635,572,23208
epsilon,2000,config2,500,2,12319,1548,13867
epsilon,2000,config2,1000,4,12682,2640,15323
epsilon,2000,config2,2000,8,13003,2838,15842
epsilon,2000,config2,5000,20,22359,1882,24242
